MPN,Manufacturer,Category,Description,Thermal_Conductivity,Thickness,Width,Length,Price_THB,source_file
06450-M,Qualtek,"Fans, Blowers, Thermal Management",120mm Sq Fan Filter/Screen Aluminum Washable in solvent or degreaser,,120 mm,,,86.78,digikey_tim_data.csv
DV-T263-101E-TR,Ohmite,"Fans, Blowers, Thermal Management",Heat Sink TO-263 (D²Pak) Aluminum 2.0W @ 30°C Top Mount,,"0.400"" (10.16mm)","1.020"" (25.91mm)","0.500"" (12.70mm)",93.93,digikey_tim_data.csv
06250-SS,Qualtek,"Fans, Blowers, Thermal Management",60mm Sq Fan Filter/Screen Stainless Steel Washable in solvent or degreaser,,60 mm,,,97.83,digikey_tim_data.csv
WV-T247-101E,Ohmite,"Fans, Blowers, Thermal Management","Heat Sink TO-247 Aluminum 1.0W @ 20°C Board Level, Vertical",,"0.630"" (16.00mm)","0.921"" (23.40mm)","1.260"" (32.00mm)",104.33,digikey_tim_data.csv
TC3-1G,Chip Quik Inc.,"Fans, Blowers, Thermal Management",Thermal Silicone Compound 1 gram Syringe,8.50W/m-K,,,,193.38,digikey_tim_data.csv
TC1-10G,Chip Quik Inc.,"Fans, Blowers, Thermal Management",Thermal Silicone Compound 10 gram Syringe,0.67W/m-K,,,,290.88,digikey_tim_data.csv
250G,"Boyd Laconia, LLC","Fans, Blowers, Thermal Management",Thermal Silicone Compound 2 oz Tube,0.76W/m-K,,,,441.03,digikey_tim_data.csv
TG-N909-30,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Non-Silicone Grease 30 gram Container,9.00W/m-K,,,,481.65,digikey_tim_data.csv
CW7270,Chemtronics,"Fans, Blowers, Thermal Management",Thermal Non-Silicone Grease 7 gram Syringe,0.71W/m-K,,,,504.32,digikey_tim_data.csv
CW7250,Chemtronics,"Fans, Blowers, Thermal Management",Thermal Non-Silicone Grease 3.4 gram Syringe,1.85W/m-K,,,,729.95,digikey_tim_data.csv
9460TC-3ML,MG Chemicals,"Fans, Blowers, Thermal Management",Thermal Epoxy Adhesive 3 ml Syringe,0.80W/m-K,,,,832.98,digikey_tim_data.csv
846-80G,MG Chemicals,"Fans, Blowers, Thermal Management",Thermal Silicone Grease 2.8 oz Container,-,,,,1068.6,digikey_tim_data.csv
CT40-5,Chemtronics,"Fans, Blowers, Thermal Management",Thermal Silicone Compound 5 oz Tube,0.63W/m-K,,,,1118.33,digikey_tim_data.csv
GF1500-00-60-50CC,Bergquist,"Fans, Blowers, Thermal Management","Thermal Liquid Gap Filler, 2 Part 50cc Cartridge",1.80W/m-K,,,,1129.05,digikey_tim_data.csv
8329TCS-6ML,MG Chemicals,"Fans, Blowers, Thermal Management","Thermal Epoxy, 2 Part 6 ml Syringe",1.40W/m-K,,,,1144.65,digikey_tim_data.csv
1978-DP,Techspray,"Fans, Blowers, Thermal Management",Thermal Non-Silicone Compound 4 oz Tube,-,,,,1213.55,digikey_tim_data.csv
TC3-10G,Chip Quik Inc.,"Fans, Blowers, Thermal Management",Thermal Silicone Compound 5cc Syringe,8.50W/m-K,,,,1233.38,digikey_tim_data.csv
8329TFS-25ML,MG Chemicals,"Fans, Blowers, Thermal Management","Thermal Epoxy, 2 Part 25 ml Syringe",1.20W/m-K,,,,1625.98,digikey_tim_data.csv
GF3500S35-07-60-50CC,Bergquist,"Fans, Blowers, Thermal Management","Thermal Liquid Gap Filler, 2 Part 50cc Cartridge",3.60W/m-K,,,,1674.4,digikey_tim_data.csv
GF3500S35-00-60-50CC,Bergquist,"Fans, Blowers, Thermal Management","Thermal Liquid Gap Filler, 2 Part 50cc Cartridge",3.60W/m-K,,,,1753.7,digikey_tim_data.csv
TC4-20G,Chip Quik Inc.,"Fans, Blowers, Thermal Management","Thermal Thermal Compound, Liquid Metal 20 gram Syringe",79.00 W/m-K,,,,1799.2,digikey_tim_data.csv
65-00-GEL75-0010,Parker Chomerics,"Fans, Blowers, Thermal Management",Thermal Silicone Gel 10cc Syringe,7.50W/m-K,,,,1982.83,digikey_tim_data.csv
ATS-EXL77-300-R0,Advanced Thermal Solutions Inc.,"Fans, Blowers, Thermal Management","Heat Sink Aluminum Top Mount, Extrusion",,"0.654"" (16.60mm)","4.754"" (120.75mm)","11.811"" (300.00mm)",2136.23,digikey_tim_data.csv
ATS-EXL98-300-R0,Advanced Thermal Solutions Inc.,"Fans, Blowers, Thermal Management","Heat Sink Aluminum Top Mount, Extrusion",,"1.417"" (36.00mm)","4.724"" (120.00mm)","11.811"" (300.00mm)",2183.03,digikey_tim_data.csv
CW7100,Chemtronics,"Fans, Blowers, Thermal Management",Thermal Silicone Grease 6.5 gram Syringe,5.60W/m-K,,,,2210.65,digikey_tim_data.csv
8329TFS-50ML,MG Chemicals,"Fans, Blowers, Thermal Management","Thermal Epoxy, 2 Part 45 ml Cartridge",1.20W/m-K,,,,2318.88,digikey_tim_data.csv
8329TCS-50ML,MG Chemicals,"Fans, Blowers, Thermal Management","Thermal Epoxy, 2 Part 50 ml Jar",1.40W/m-K,,,,2411.83,digikey_tim_data.csv
65-02-GEL75-0030,Parker Chomerics,"Fans, Blowers, Thermal Management",Thermal Silicone Gel 30cc Syringe,7.50W/m-K,,,,2652.33,digikey_tim_data.csv
1978-1,Techspray,"Fans, Blowers, Thermal Management",Thermal Non-Silicone Compound 1 lb Can,-,,,,2654.93,digikey_tim_data.csv
8349TFM-45ML,MG Chemicals,"Fans, Blowers, Thermal Management","Thermal Epoxy, 2 Part 45 ml Jar",0.90W/m-K,,,,2856.43,digikey_tim_data.csv
ATS-EXL312-300-R0,Advanced Thermal Solutions Inc.,"Fans, Blowers, Thermal Management","Heat Sink Aluminum Top Mount, Extrusion",,"1.180"" (29.97mm)","3.160"" (80.26mm)","11.811"" (300.00mm)",2937.03,digikey_tim_data.csv
ATS-EXL117-300-R0,Advanced Thermal Solutions Inc.,"Fans, Blowers, Thermal Management","Heat Sink Aluminum Top Mount, Extrusion",,"0.492"" (12.50mm)","9.213"" (234.00mm)","11.811"" (300.00mm)",3745.3,digikey_tim_data.csv
127-20-10,Wakefield Thermal Solutions,"Fans, Blowers, Thermal Management",Thermal Non-Silicone Grease 1 gram Syringe,20.00W/m-K,,,,4708.28,digikey_tim_data.csv
1188118,LOCTITE,"Fans, Blowers, Thermal Management","Thermal Epoxy, 2 Part (Order Catalyst Separately) 1.36 kg Container",-,,,,5197.73,digikey_tim_data.csv
1188119,LOCTITE,"Fans, Blowers, Thermal Management","Thermal Epoxy, 2 Part (Order Catalyst Separately) 8.16 kg Container",-,,,,9969.7,digikey_tim_data.csv
06325-M,Qualtek,"Fans, Blowers, Thermal Management",80mm Sq Fan Filter/Screen Aluminum Washable in solvent or degreaser,,80 mm,,,64.89,digikey_tim_data.csv
DV-T263-301E-TR,Ohmite,"Fans, Blowers, Thermal Management",Heat Sink TO-263 (D²Pak) Aluminum 6.0W @ 40°C Top Mount,,"0.460"" (11.68mm)","1.390"" (35.31mm)","0.500"" (12.70mm)",109.53,digikey_tim_data.csv
06325-SS,Qualtek,"Fans, Blowers, Thermal Management",80mm Sq Fan Filter/Screen Stainless Steel Washable in solvent or degreaser,,80 mm,,,110.83,digikey_tim_data.csv
06362-SS,Qualtek,"Fans, Blowers, Thermal Management",92mm Sq Fan Filter/Screen Stainless Steel Washable in solvent or degreaser,,92 mm,,,120.9,digikey_tim_data.csv
C247-025-1VE,Ohmite,"Fans, Blowers, Thermal Management","Heat Sink TO-247 Aluminum 5.0W @ 60°C Board Level, Vertical",,"0.710"" (18.03mm)","1.500"" (38.10mm)","0.984"" (25.00mm)",184.93,digikey_tim_data.csv
C40-058-VE,Ohmite,"Fans, Blowers, Thermal Management","Heat Sink TO-247, TO-264, SOT-227 Aluminum Board Level, Vertical",,"1.260"" (32.00mm)","1.724"" (43.79mm)","2.283"" (58.00mm)",186.55,digikey_tim_data.csv
C60-075-VE,Ohmite,"Fans, Blowers, Thermal Management","Heat Sink TO-220, TO-247, TO-264 Aluminum Board Level, Vertical",,"1.610"" (40.89mm)","2.480"" (62.99mm)","2.953"" (75.00mm)",405.28,digikey_tim_data.csv
TC1-20G,Chip Quik Inc.,"Fans, Blowers, Thermal Management",Thermal Silicone Compound 20 gram Syringe,0.67W/m-K,,,,420.88,digikey_tim_data.csv
ATS-EXL67-300-R0,Advanced Thermal Solutions Inc.,"Fans, Blowers, Thermal Management","Heat Sink Aluminum Top Mount, Extrusion",,"0.531"" (13.50mm)","1.083"" (27.50mm)","11.811"" (300.00mm)",445.58,digikey_tim_data.csv
65-00-GREASE15-0010,Parker Chomerics,"Fans, Blowers, Thermal Management",Thermal Silicone Grease 10cc Syringe,1.50W/m-K,,,,552.5,digikey_tim_data.csv
ATS-EXL1-254-R0,Advanced Thermal Solutions Inc.,"Fans, Blowers, Thermal Management","Heat Sink Aluminum Top Mount, Extrusion",,"0.394"" (10.00mm)","3.967"" (100.76mm)","10.000"" (254.00mm)",799.83,digikey_tim_data.csv
65-00-GEL37-0010,Parker Chomerics,"Fans, Blowers, Thermal Management",Thermal Silicone Gel 10cc Syringe,3.70W/m-K,,,,956.15,digikey_tim_data.csv
ATS-EXL68-300-R0,Advanced Thermal Solutions Inc.,"Fans, Blowers, Thermal Management","Heat Sink Aluminum Top Mount, Extrusion",,"0.984"" (25.00mm)","2.010"" (51.00mm)","11.811"" (300.00mm)",971.1,digikey_tim_data.csv
65-00-GEL35VT-0010,Parker Chomerics,"Fans, Blowers, Thermal Management",Thermal Silicone Gel 10cc Syringe,3.50W/m-K,,,,1045.85,digikey_tim_data.csv
ATS-EXL7-254-R0,Advanced Thermal Solutions Inc.,"Fans, Blowers, Thermal Management","Heat Sink Aluminum Top Mount, Extrusion",,"0.551"" (14.00mm)","3.976"" (101.00mm)","9.764"" (248.00mm)",1102.73,digikey_tim_data.csv
TG-N8000-30,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Non-Silicone Putty 30 gram Jar,8.00W/m-K,,,,1631.5,digikey_tim_data.csv
65-02-GEL50TBL-0030,Parker Chomerics,"Fans, Blowers, Thermal Management",Thermal Silicone Gel 30cc Syringe,5.00W/m-K,,,,1759.88,digikey_tim_data.csv
A18835-01,Laird Technologies - Thermal Materials,"Fans, Blowers, Thermal Management",Thermal Liquid Gap Filler 50cc Cartridge,5.40W/m-K,,,,1783.93,digikey_tim_data.csv
ATS-EXL78-300-R0,Advanced Thermal Solutions Inc.,"Fans, Blowers, Thermal Management","Heat Sink Aluminum Top Mount, Extrusion",,"0.299"" (7.60mm)","5.748"" (146.00mm)","11.811"" (300.00mm)",1819.03,digikey_tim_data.csv
ATS-EXL100-300-R0,Advanced Thermal Solutions Inc.,"Fans, Blowers, Thermal Management","Heat Sink Aluminum Top Mount, Extrusion",,"1.319"" (33.50mm)","5.118"" (130.00mm)","11.811"" (300.00mm)",2162.88,digikey_tim_data.csv
ATS-EXL424-288-R0,Advanced Thermal Solutions Inc.,"Fans, Blowers, Thermal Management","Heat Sink Aluminum Top Mount, Extrusion",,"0.650"" (16.51mm)","7.402"" (188.00mm)","11.339"" (288.00mm)",2272.4,digikey_tim_data.csv
ATS-EXL108-300-R0,Advanced Thermal Solutions Inc.,"Fans, Blowers, Thermal Management","Heat Sink Aluminum Top Mount, Extrusion",,"2.165"" (54.99mm)","9.449"" (240.00mm)","11.811"" (300.00mm)",4115.48,digikey_tim_data.csv
A16872-03,Laird Technologies - Thermal Materials,"Fans, Blowers, Thermal Management",Thermal Liquid Gap Filler 180cc Cartridge,2.30W/m-K,,,,4261.4,digikey_tim_data.csv
127-12-10,Wakefield Thermal Solutions,"Fans, Blowers, Thermal Management",Thermal Non-Silicone Grease 1 gram Syringe,12.00W/m-K,,,,4517.18,digikey_tim_data.csv
ATS-EXL312-1220-R0,Advanced Thermal Solutions Inc.,"Fans, Blowers, Thermal Management","Heat Sink Aluminum Top Mount, Extrusion",,"1.180"" (29.97mm)","3.160"" (80.26mm)","48.032"" (1220.00mm)",9673.3,digikey_tim_data.csv
DV-T268-301E-TR,Ohmite,"Fans, Blowers, Thermal Management",Heat Sink TO-268 (D³Pak) Aluminum 7.0W @ 35°C Top Mount,,"0.460"" (11.68mm)","1.580"" (40.13mm)","0.500"" (12.70mm)",115.05,digikey_tim_data.csv
ATS-EXL120-300-R0,Advanced Thermal Solutions Inc.,"Fans, Blowers, Thermal Management","Heat Sink Aluminum Top Mount, Extrusion",,"0.551"" (14.00mm)","3.150"" (80.00mm)","11.811"" (300.00mm)",2379.33,digikey_tim_data.csv
ATS-EXL115-300-R0,Advanced Thermal Solutions Inc.,"Fans, Blowers, Thermal Management","Heat Sink Aluminum Top Mount, Extrusion",,"1.181"" (30.00mm)","4.724"" (120.00mm)","11.811"" (300.00mm)",2569.78,digikey_tim_data.csv
ATS-EXL84-1220-R0,Advanced Thermal Solutions Inc.,"Fans, Blowers, Thermal Management","Heat Sink Aluminum Top Mount, Extrusion",,"0.984"" (25.00mm)","2.756"" (70.00mm)","48.032"" (1220.00mm)",2915.25,digikey_tim_data.csv
ATS-EXL117-1220-R0,Advanced Thermal Solutions Inc.,"Fans, Blowers, Thermal Management","Heat Sink Aluminum Top Mount, Extrusion",,"0.492"" (12.50mm)","9.213"" (234.00mm)","48.032"" (1220.00mm)",10042.18,digikey_tim_data.csv
ATS-EXL108-1220-R0,Advanced Thermal Solutions Inc.,"Fans, Blowers, Thermal Management","Heat Sink Aluminum Top Mount, Extrusion",,"2.165"" (54.99mm)","9.449"" (240.00mm)","48.032"" (1220.00mm)",18324.15,digikey_tim_data.csv
65-00-GREASE50-0010,Parker Chomerics,"Fans, Blowers, Thermal Management",Thermal Silicone Grease 10cc Jar,5.00W/m-K,,,,610.03,digikey_tim_data.csv
PV-T2X-38E,Ohmite,"Fans, Blowers, Thermal Management","Heat Sink TO-220, TO-247, TO-264 Aluminum Board Level, Vertical",,"1.500"" (38.10mm)","0.690"" (17.53mm)","1.180"" (29.97mm)",296.4,digikey_tim_data.csv
SILV5-THERMAL-PASTE,StarTech.com,"Fans, Blowers, Thermal Management",Thermal Silicone Compound 1.5 gram Syringe,3.20W/m-K,,,,1018.08,digikey_tim_data.csv
S-PUTTY-100,"Shiu Li Technology Co., Ltd.","Fans, Blowers, Thermal Management",Thermal Silicone Putty 100 gram Cartridge,3.50W/m-K,,,,1218.43,digikey_tim_data.csv
N-PUTTY-100,"Shiu Li Technology Co., Ltd.","Fans, Blowers, Thermal Management",Thermal Non-Silicone Putty 100 gram Cartridge,3.50W/m-K,,,,1222.0,digikey_tim_data.csv
G3380NA-120,"Shiu Li Technology Co., Ltd.","Fans, Blowers, Thermal Management",Thermal Non-Silicone Grease 120 gram Cartridge,1.30W/m-K,,,,1649.7,digikey_tim_data.csv
S-PUTTY2-100,"Shiu Li Technology Co., Ltd.","Fans, Blowers, Thermal Management",Thermal Silicone Putty 100 gram Cartridge,6.00W/m-K,,,,1741.35,digikey_tim_data.csv
H-PUTTY2-100,"Shiu Li Technology Co., Ltd.","Fans, Blowers, Thermal Management",Thermal Silicone Putty 100 gram Cartridge,6.00W/m-K,,,,1833.0,digikey_tim_data.csv
G3380D-100,"Shiu Li Technology Co., Ltd.","Fans, Blowers, Thermal Management",Thermal Silicone Grease 100 gram Cartridge,6.00W/m-K,,,,2072.7,digikey_tim_data.csv
SH-PUTTY3-100,"Shiu Li Technology Co., Ltd.","Fans, Blowers, Thermal Management",Thermal Silicone Putty 100 gram Cartridge,8.00W/m-K,,,,2600.0,digikey_tim_data.csv
EPDM30-135,"Shiu Li Technology Co., Ltd.","Fans, Blowers, Thermal Management","Thermal Liquid Gap Filler, 2 Part 50 ml Cartridges",3.00W/m-K,,,,2993.9,digikey_tim_data.csv
D2000-140,"Shiu Li Technology Co., Ltd.","Fans, Blowers, Thermal Management","Thermal Silicone Grease, 2 Part 140 gram Cartridge",2.00W/m-K,,,,3635.45,digikey_tim_data.csv
SH-PUTTY3-100-KIT,"Shiu Li Technology Co., Ltd.","Fans, Blowers, Thermal Management",Thermal Silicone Putty 100 gram Cartridge,8.00W/m-K,,,,3688.75,digikey_tim_data.csv
N-PUTTY3-100,"Shiu Li Technology Co., Ltd.","Fans, Blowers, Thermal Management",Thermal,,,,,3838.9,digikey_tim_data.csv
EP770-1100,"Shiu Li Technology Co., Ltd.","Fans, Blowers, Thermal Management","Thermal Epoxy, 2 Part 1 kg Can",2.50W/m-K,,,,3971.5,digikey_tim_data.csv
NL-PUTTY10-90,"Shiu Li Technology Co., Ltd.","Fans, Blowers, Thermal Management",Thermal 30 ml Cartridge,,,,,4346.88,digikey_tim_data.csv
X-PUTTY-900,"Shiu Li Technology Co., Ltd.","Fans, Blowers, Thermal Management",Thermal Silicone Putty 900 gram Container,3.00W/m-K,,,,6682.65,digikey_tim_data.csv
DV-T263-201E-TR,Ohmite,"Fans, Blowers, Thermal Management",Heat Sink TO-263 (D²Pak) Aluminum 2.0W @ 30°C Top Mount,,"0.480"" (12.19mm)","1.020"" (25.91mm)","0.500"" (12.70mm)",92.63,digikey_tim_data.csv
GF1000-00-15-50CC,Bergquist,"Fans, Blowers, Thermal Management","Thermal Liquid Gap Filler, 2 Part 50cc Cartridge",1.00W/m-K,,,,826.48,digikey_tim_data.csv
TC2-20G,Chip Quik Inc.,"Fans, Blowers, Thermal Management",Thermal Silicone Compound 20 gram Syringe,4.30W/m-K,,,,1330.88,digikey_tim_data.csv
65-02-GEL35VT-0030,Parker Chomerics,"Fans, Blowers, Thermal Management",Thermal Silicone Gel 30cc Syringe,3.50W/m-K,,,,1428.05,digikey_tim_data.csv
A17262-01,Laird Technologies - Thermal Materials,"Fans, Blowers, Thermal Management",Thermal Silicone Gap Filler 50cc Cartridge,6.40W/m-K,,,,3810.3,digikey_tim_data.csv
1188124,LOCTITE,"Fans, Blowers, Thermal Management","Thermal Epoxy, 2 Part (Order Catalyst Separately) 3 lb Container",-,,,,5478.2,digikey_tim_data.csv
A18578-08,Laird Technologies - Thermal Materials,"Fans, Blowers, Thermal Management",Thermal Liquid Gap Filler 75cc Cartridge,9.10W/m-K,,,,7582.25,digikey_tim_data.csv
TG-N909-1000,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Non-Silicone Grease 1 kg Container,9.00W/m-K,,,,13106.28,digikey_tim_data.csv
ATS-EXL110-1220-R0,Advanced Thermal Solutions Inc.,"Fans, Blowers, Thermal Management","Heat Sink Aluminum Top Mount, Extrusion",,"1.772"" (45.00mm)","7.874"" (200.00mm)","48.032"" (1220.00mm)",13792.35,digikey_tim_data.csv
A18578-02,Laird Technologies - Thermal Materials,"Fans, Blowers, Thermal Management",Thermal Liquid Gap Filler 180cc Cartridge,9.10W/m-K,,,,16599.05,digikey_tim_data.csv
06450-SS,Qualtek,"Fans, Blowers, Thermal Management",120mm Sq Fan Filter/Screen Stainless Steel Washable in solvent or degreaser,,120 mm,,,152.75,digikey_tim_data.csv
ATS-EXL58-300-R0,Advanced Thermal Solutions Inc.,"Fans, Blowers, Thermal Management","Heat Sink Aluminum Top Mount, Extrusion",,"0.315"" (8.00mm)","0.236"" (6.00mm)","11.811"" (300.00mm)",350.68,digikey_tim_data.csv
ATS-EXL61-300-R0,Advanced Thermal Solutions Inc.,"Fans, Blowers, Thermal Management","Heat Sink Aluminum Top Mount, Extrusion",,"0.236"" (6.00mm)","0.591"" (15.00mm)","11.811"" (300.00mm)",385.78,digikey_tim_data.csv
TC4-1G,Chip Quik Inc.,"Fans, Blowers, Thermal Management","Thermal Thermal Compound, Liquid Metal 1 gram Syringe",79.00 W/m-K,,,,391.95,digikey_tim_data.csv
ATS-EXL59-300-R0,Advanced Thermal Solutions Inc.,"Fans, Blowers, Thermal Management","Heat Sink Aluminum Top Mount, Extrusion",,"0.630"" (16.00mm)","0.551"" (14.00mm)","11.811"" (300.00mm)",465.73,digikey_tim_data.csv
TC3-3.5G,Chip Quik Inc.,"Fans, Blowers, Thermal Management",Thermal Silicone Compound 3.5 gram Syringe,8.50W/m-K,,,,485.88,digikey_tim_data.csv
TC4-2G,Chip Quik Inc.,"Fans, Blowers, Thermal Management","Thermal Thermal Compound, Liquid Metal 2 gram Syringe",79.00 W/m-K,,,,575.9,digikey_tim_data.csv
65-00-GREASE30-0010,Parker Chomerics,"Fans, Blowers, Thermal Management",Thermal Silicone Grease 10cc Syringe,3.00W/m-K,,,,581.1,digikey_tim_data.csv
65-00-GREASE70-0010,Parker Chomerics,"Fans, Blowers, Thermal Management",Thermal Silicone Grease 10cc Syringe,7.00W/m-K,,,,627.25,digikey_tim_data.csv
65-00-CIP60-0045,Parker Chomerics,"Fans, Blowers, Thermal Management","Thermal Silicone Compound, 2 Part 50cc Cartridge",6.00W/m-K,,,,673.4,digikey_tim_data.csv
1977-DP,Techspray,"Fans, Blowers, Thermal Management",Thermal Silicone Grease 4 oz Tube,-,,,,696.15,digikey_tim_data.csv
TC2-10G,Chip Quik Inc.,"Fans, Blowers, Thermal Management",Thermal Silicone Compound 10 gram Syringe,4.30W/m-K,,,,713.38,digikey_tim_data.csv
ATS-EXL63-300-R0,Advanced Thermal Solutions Inc.,"Fans, Blowers, Thermal Management","Heat Sink Aluminum Top Mount, Extrusion",,"1.378"" (35.00mm)","0.984"" (25.00mm)","11.811"" (300.00mm)",738.08,digikey_tim_data.csv
TC4-5G,Chip Quik Inc.,"Fans, Blowers, Thermal Management","Thermal Thermal Compound, Liquid Metal 5 gram Syringe",79.00 W/m-K,,,,756.28,digikey_tim_data.csv
TC4-10G,Chip Quik Inc.,"Fans, Blowers, Thermal Management","Thermal Thermal Compound, Liquid Metal 10 gram Syringe",79.00 W/m-K,,,,1110.2,digikey_tim_data.csv
ATS-EXL75-300-R0,Advanced Thermal Solutions Inc.,"Fans, Blowers, Thermal Management","Heat Sink Aluminum Top Mount, Extrusion",,"0.728"" (18.50mm)","2.976"" (75.60mm)","11.811"" (300.00mm)",1137.18,digikey_tim_data.csv
65-00-GEL20-0010,Parker Chomerics,"Fans, Blowers, Thermal Management",Thermal Gel Gap Filler 10cc Syringe,2.4W/m-K,,,,1274.33,digikey_tim_data.csv
ATS-EXL2-254-R0,Advanced Thermal Solutions Inc.,"Fans, Blowers, Thermal Management","Heat Sink Aluminum Top Mount, Extrusion",,"0.790"" (20.00mm)","3.967"" (100.76mm)","10.000"" (254.00mm)",1345.18,digikey_tim_data.csv
65-00-GEL50TBL-0010,Parker Chomerics,"Fans, Blowers, Thermal Management",Thermal Silicone Gel 10cc Syringe,5.00W/m-K,,,,1436.5,digikey_tim_data.csv
65-02-GREASE70-0030,Parker Chomerics,"Fans, Blowers, Thermal Management",Thermal Silicone Grease 30cc Cartridge,7.00W/m-K,,,,1595.43,digikey_tim_data.csv
TC1-200G,Chip Quik Inc.,"Fans, Blowers, Thermal Management",Thermal Silicone Compound 200 gram Jar,0.67W/m-K,,,,1623.38,digikey_tim_data.csv
TG4040-D-30CC,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Silicone Putty 30cc Syringe,3.00W/m-K,,,,1722.83,digikey_tim_data.csv
ATS-EXL74-300-R0,Advanced Thermal Solutions Inc.,"Fans, Blowers, Thermal Management","Heat Sink Aluminum Top Mount, Extrusion",,"0.590"" (15.00mm)","2.756"" (70.00mm)","11.811"" (300.00mm)",1774.18,digikey_tim_data.csv
65-02-GEL50VT-0030,Parker Chomerics,"Fans, Blowers, Thermal Management",Thermal Silicone Gel 30cc Syringe,5.20W/m-K,,,,1807.65,digikey_tim_data.csv
ATS-EXL102-300-R0,Advanced Thermal Solutions Inc.,"Fans, Blowers, Thermal Management","Heat Sink Aluminum Top Mount, Extrusion",,"1.063"" (27.00mm)","7.047"" (179.00mm)","11.811"" (300.00mm)",2278.9,digikey_tim_data.csv
65-02-GEL75VT-0030,Parker Chomerics,"Fans, Blowers, Thermal Management",Thermal Silicone Gel 30cc Cartridge,7.50W/m-K,,,,2346.83,digikey_tim_data.csv
ATS-EXL101-300-R0,Advanced Thermal Solutions Inc.,"Fans, Blowers, Thermal Management","Heat Sink Aluminum Top Mount, Extrusion",,"1.362"" (34.60mm)","6.000"" (152.40mm)","11.811"" (300.00mm)",2396.23,digikey_tim_data.csv
ATS-EXL119-300-R0,Advanced Thermal Solutions Inc.,"Fans, Blowers, Thermal Management","Heat Sink Aluminum Top Mount, Extrusion",,"0.551"" (14.00mm)","3.740"" (95.00mm)","11.811"" (300.00mm)",2595.45,digikey_tim_data.csv
ATS-EXL1-1220-R0,Advanced Thermal Solutions Inc.,"Fans, Blowers, Thermal Management","Heat Sink Aluminum Top Mount, Extrusion",,"0.394"" (10.00mm)","3.967"" (100.76mm)","48.032"" (1220.00mm)",3012.75,digikey_tim_data.csv
TG-A7000-55CC,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Silicone Putty 50cc Syringe,7.00W/m-K,,,,3062.8,digikey_tim_data.csv
TG-N8000-30CC,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Non-Silicone Putty 30cc Syringe,8.00W/m-K,,,,3084.9,digikey_tim_data.csv
TC2-50G,Chip Quik Inc.,"Fans, Blowers, Thermal Management",Thermal Silicone Compound 50 gram Jar,4.30W/m-K,,,,3248.38,digikey_tim_data.csv
ATS-EXL109-300-R0,Advanced Thermal Solutions Inc.,"Fans, Blowers, Thermal Management","Heat Sink Aluminum Top Mount, Extrusion",,"1.262"" (32.05mm)","7.874"" (200.00mm)","11.811"" (300.00mm)",3437.85,digikey_tim_data.csv
1188099,LOCTITE,"Fans, Blowers, Thermal Management","Thermal Epoxy, 2 Part (Order Catalyst Separately) 3 lb Container",1.34W/m-K,,,,5036.53,digikey_tim_data.csv
A10548-5,Laird Technologies - Thermal Materials,"Fans, Blowers, Thermal Management",Thermal Silicone Putty 100cc Jar,3.00W/m-K,,,,5112.25,digikey_tim_data.csv
65-01-GEL37-0180,Parker Chomerics,"Fans, Blowers, Thermal Management",Thermal Silicone Gel 180cc Syringe,3.70W/m-K,,,,5235.43,digikey_tim_data.csv
2624519,Bergquist,"Fans, Blowers, Thermal Management",Thermal Silicone Gel 150cc Cartridge,6.00W/m-K,,,,5516.23,digikey_tim_data.csv
ATS-EXL105-300-R0,Advanced Thermal Solutions Inc.,"Fans, Blowers, Thermal Management","Heat Sink Aluminum Top Mount, Extrusion",,"1.949"" (49.50mm)","13.465"" (342.00mm)","11.811"" (300.00mm)",6006.0,digikey_tim_data.csv
A16872-04,Laird Technologies - Thermal Materials,"Fans, Blowers, Thermal Management",Thermal Liquid Gap Filler 360cc Cartridge,2.30W/m-K,,,,6831.83,digikey_tim_data.csv
OB-200-16,Omega,"Fans, Blowers, Thermal Management","Thermal Epoxy, 2 Part 1 lb Can, 2 oz Can",-,,,,6945.58,digikey_tim_data.csv
65-02-GEL50VT-0180,Parker Chomerics,"Fans, Blowers, Thermal Management",Thermal Silicone Gel 180cc Syringe,5.20W/m-K,,,,7108.73,digikey_tim_data.csv
1188134,LOCTITE,"Fans, Blowers, Thermal Management","Thermal Epoxy, 2 Part (Order Catalyst Separately) 3 lb Container",2.78W/m-K,,,,7377.83,digikey_tim_data.csv
ATS-EXL99-1220-R0,Advanced Thermal Solutions Inc.,"Fans, Blowers, Thermal Management","Heat Sink Aluminum Top Mount, Extrusion",,"1.358"" (34.50mm)","3.937"" (100.00mm)","48.032"" (1220.00mm)",7695.68,digikey_tim_data.csv
ATS-EXL424-1220-R0,Advanced Thermal Solutions Inc.,"Fans, Blowers, Thermal Management","Heat Sink Aluminum Top Mount, Extrusion",,"0.650"" (16.51mm)","7.402"" (188.00mm)","48.032"" (1220.00mm)",7850.38,digikey_tim_data.csv
