MPN,Manufacturer,Category,Description,Thermal_Conductivity,Thickness,Width,Length,Price_THB
GL-20-10,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products ulTIMiFlux Gel, 10cc Syringe, Pink, 20g/m Flow Rate, 0.004"", 3.5w/mK",3.5 W/m-K,,,,1716.12
7717-175DAPG,Aavid,Heat Sinks,"Heat Sinks Semi Mounting Pad for Crystal Can Relays, Rectangular, DAP, 20.32x10.16x1.28mm",,1.28 mm,20.32 mm,10.16 mm,103.01
TAP-TP1,Ohmite,Thermal Interface Products,Thermal Interface Products GRAPHITE THERMAL PAD,,,,,655.83
WTI10S0F0-12.0x12.0,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products Thermal Insulator Pad, 0.010"" Thickness, Square, 12x12"" Sheet, White",,,12 mm,12 mm,8098.65
WTI10S0F1-12.0x12.0,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products Thermal Insulator Pad, 0.010"" Thickness, Square, 12x12"" Sheet, 1 Side Adhesive",,,12 mm,12 mm,8134.56
WTI20S0F1-12.0x12.0,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products Thermal Insulator Pad, 0.020"" Thickness, Square, 12x12"" Sheet, 1 Side Adhesive",,,12 mm,12 mm,10367.28
A10099-02,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tpli 270 A1 8x8"" 6 W/mK gap filler",6 W/m-K,,8 mm,8 mm,5652.99
TGF600M,LeaderTech,Thermal Interface Products,Thermal Interface Products 6W/m-K 200*300*1mm TGF600M Brown,6 W/m-K,1 mm,200 mm,300 mm,6444.27
7717-8NG,Aavid,Heat Sinks,"Heat Sinks Semiconductor Mounting Pad for IC, 8 Leads, 1.91mm Thickness",,1.91 mm,,,50.4
7717-18NG,Aavid,Heat Sinks,"Heat Sinks Semi Mounting Pad for TO-18, Nylon, 4 Leads, 5.72mm OD, 2.54mm Thickness",,5.72 mm,,,25.52
WTI15S0F0-12.0x12.0,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products Thermal Insulator Pad, 0.015"" Thickness, Square, 12x12"" Sheet, White",,,12 mm,12 mm,8583.75
WTI20S0F0-12.0x12.0,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products Thermal Insulator Pad, 0.020"" Thickness, Square, 12x12"" Sheet, White",,,12 mm,12 mm,9645.93
5586-20,3M Electronic Specialty,Thermal Interface Products,"Thermal Interface Products WX300950713  3M(TM) THERMALLY COND INTERFACE PAD 5586, 210MM X 300MM 2.0MM",,210 mm,,,1400.81
WTI7D4F0-1.65x1.14,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products Thermal Insulator Pad, 0.007"" Thickness, Diamond, 41.91x28.96mm, Gray",,28.96 mm,41.91 mm,28.96 mm,47.88
WTI9R0F0-0.75x0.50,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products Thermal Insulator Pad, 0.009"" Thickness, Rectangle, 19.05x12.7mm, Pink",,12.7 mm,19.05 mm,12.7 mm,28.67
WTI9R1N0-0.86x0.74,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products Thermal Insulator Pad, 0.009"" Thickness, Rectangle, 21.84x18.8mm, Green",,18.8 mm,21.84 mm,18.8 mm,29.61
EYG-S0610ZLAH,Panasonic,Thermal Interface Products,Thermal Interface Products Soft PGS - IGBT Mod Infineon,,,,,308.7
WTI15S0F1-12.0x12.0,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products Thermal Insulator Pad, 0.015"" Thickness, Square, 12x12"" Sheet, 1 Side Adhesive",,,12 mm,12 mm,9237.69
PL-05-3-1016-H,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products ulTIMiFlux Gap Pad, Silicone, 0.5mm Thick, 3 W/m-K, 101.6x101.6mm, Hyper Soft",3 W/m-K,0.5 mm,101.6 mm,101.6 mm,341.15
T11-0-1.00A-01-11AL-V,AIRPAX,Circuit Breakers,"Circuit Breakers Cir Brkr,HydMag",,,,,608.58
56-77-10G,Aavid,Thermal Interface Products,"Thermal Interface Products Mica Insulator for TO-220, 21.89mm",,21.89 mm,,,39.69
WTI9R0N0-0.75x0.50,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products Thermal Insulator Pad, 0.009"" Thickness, Rectangle, 19.05x12.7mm, Green",,12.7 mm,19.05 mm,12.7 mm,20.16
WTI6R0K0-0.75x0.50,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products Thermal Insulator Pad, 0.006"" Thickness, Rectangle, 19.05x12.7mm, Beige",,12.7 mm,19.05 mm,12.7 mm,20.16
WTI6R1K0-0.69x0.56,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products Thermal Insulator Pad, 0.006"" Thickness, Rectangle, 17.45x14.27mm, Beige",,14.27 mm,17.45 mm,14.27 mm,25.2
WTI9R1N0-0.75x0.50,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products Thermal Insulator Pad, 0.009"" Thickness, Rectangle, 19.05x12.7mm, Green",,12.7 mm,19.05 mm,12.7 mm,31.19
53-77-2G,Aavid,Thermal Interface Products,"Thermal Interface Products Thermalsil III Pad for TO-220, Grey/Green, 17.50x14.27x 0.152mm, Silicone Rubber",,0.152 mm,17.50 mm,14.27 mm,35.28
A18145-03,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tflex RB330FG, 9x9IN,",,,9 mm,9 mm,598.19
WTI7R1F0-0.69x0.56,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products Thermal Insulator Pad, 0.007"" Thickness, Rectangle, 17.45x14.27mm, Gray",,14.27 mm,17.45 mm,14.27 mm,17.01
WTI9R1F0-0.69x0.56,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products Thermal Insulator Pad, 0.009"" Thickness, Rectangle, 17.45x14.27mm, Gray",,14.27 mm,17.45 mm,14.27 mm,17.96
EYG-R0409ZRMG,Panasonic,Thermal Interface Products,Thermal Interface Products 88 mmx41 mmx0.35 mm200 W/m-K - 55 C+ 400 C,200 W/m-K,88 mm,,,446.67
TGF60-07870787-039,LeaderTech,Thermal Interface Products,Thermal Interface Products 6W/m-K 200*200*1 TGF60 Gray,6 W/m-K,,200 mm,200 mm,2995.65
PL-2-3-1016-H,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products ulTIMiFlux Gap Pad, Silicone, 2mm Thickness, 3 W/m-K, 101.6x101.6mm, Hyper Soft",3 W/m-K,2 mm,101.6 mm,101.6 mm,555.03
EYG-R0309ZLMF,Panasonic,Thermal Interface Products,Thermal Interface Products 92 mmx32 mmx0.25 mm250 W/m-K - 55 C+ 400 C,250 W/m-K,92 mm,,,255.15
EYG-R0407ZRAL,Panasonic,Thermal Interface Products,Thermal Interface Products 65.5 mmx40 mmx0.35 mm200 W/m-K - 55 C+ 400 C,200 W/m-K,65.5 mm,,,346.82
WTI9D4F0-1.65x1.14,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products Thermal Insulator Pad, 0.009"" Thickness, Diamond, 41.91x28.96mm, Gray",,28.96 mm,41.91 mm,28.96 mm,41.9
WTI9R1F0-0.86x0.74,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products Thermal Insulator Pad, 0.009"" Thickness, Rectangle, 21.84x18.8mm, Gray",,18.8 mm,21.84 mm,18.8 mm,20.79
WTI9R1N0-1.00x0.75,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products Thermal Insulator Pad, 0.009"" Thickness, Rectangle, 25.4x19.05mm, Green",,19.05 mm,25.4 mm,19.05 mm,25.83
WTI7R1F0-0.86x0.74,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products Thermal Insulator Pad, 0.007"" Thickness, Rectangle, 21.84x18.8mm, Gray",,18.8 mm,21.84 mm,18.8 mm,23.94
WTI7R1F0-1.00x0.75,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products Thermal Insulator Pad, 0.007"" Thickness, Rectangle, 25.4x19.05mm, Gray",,19.05 mm,25.4 mm,19.05 mm,20.16
T21-62-15.0A-01-31AL-V,AIRPAX,Circuit Breakers,Circuit Breakers Cir Brkr Hyd Mag,,,,,1393.88
EYG-R0612ZLSG,Panasonic,Thermal Interface Products,Thermal Interface Products 124 mmx61.5 mmx0.25 mm250 W/m-K - 55 C+ 400 C,250 W/m-K,124 mm,,,604.8
PLK-129345,Wakefield Thermal,Thermal Interface Products,Thermal Interface Products ulTIMiFlux Gap Pad Evalution Kit,,,,,9383.54
T26-2-7.00A-01-11A-V,AIRPAX,Circuit Breakers,Circuit Breakers Cir Brkr Hyd Mag,,,,,1913.63
A18906-16,Laird Technologies,Thermal Interface Products,Thermal Interface Products Thickness 4mm 457x457mm Grey,,4 mm,457 mm,457 mm,57328.43
T11-1-7.00A-01-31B-V,AIRPAX,Circuit Breakers,Circuit Breakers Cir Brkr Hyd Mag,,,,,588.11
A18770-20,Laird Technologies,Thermal Interface Products,Thermal Interface Products,,,,,158478.08
GL-08-10,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products ulTIMiFlux Gel, 10cc Syringe, Yellow, 8g/m Flow Rate, 0.015"", 2.4w/mK",2.4 W/m-K,,,,2163.11
T11-1-25.0A-01-20,AIRPAX,Circuit Breakers,Circuit Breakers Cir Brkr Hyd Mag,,,,,710.01
T11-2-30.0A-01-20,AIRPAX,Circuit Breakers,Circuit Breakers Cir Brkr Hyd Mag,,,,,710.01
5516-1.5,3M Electronic Specialty,Thermal Interface Products,Thermal Interface Products THERM COND INT PAD 1.5MM 230MMX320MM,,1.5 mm,,,2626.47
127007,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products Thermal Pad, 33x33mm, 0.003mm Thick",,33 mm,33 mm,33 mm,141.44
A18770-13,Laird Technologies,Thermal Interface Products,Thermal Interface Products,,,,,152187.21
A18770-06,Laird Technologies,Thermal Interface Products,Thermal Interface Products,,,,,19328.72
URETHANE-PAD-40X60X30,IDEC,Thermal Interface Products,Thermal Interface Products Urethane pad,,,,,11.66
WTC5R1F0-0.69x0.56,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products Thermal Conductor Pad, 0.005"" Thickness, Rectangle, 17.45x14.27mm, Black",,14.27 mm,17.45 mm,14.27 mm,22.68
WTI9R3F0-0.36 OD,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products Thermal Insulator Pad, 0.009"" Thickness, Rectangle, 9.14mm Diameter, Gray",,9.14 mm,,,25.2
WTC5S1F0-1.00x1.00,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products Thermal Conductor Pad, 0.005"" Thickness, Square, 25.4x25.4mm, Black",,25.4 mm,25.4 mm,25.4 mm,41.9
WTC6R1A0-0.75x0.50,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products Thermal Conductor Pad, 0.006"" Thickness, Rectangle, 19.05x12.7mm, Black",,12.7 mm,19.05 mm,12.7 mm,17.01
84134021H,Crydom,Solid State Relays - SSRs,"Solid State Relays - SSRs SSR Relay, Panel Mount, IP00, 280VAC/50A, AC In, Zero Cross, Thermal Pad",,,,,2816.1
APA502-80-001,Advanced Energy / Artesyn,Heat Sinks,Heat Sinks PAD THERMAL SIZE80 FOR AMPSS MOD,,,,,137.66
WTC5R0F0-2.50x2.00,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products Thermal Conductor Pad, 0.005"" Thickness, Rectangle, 63.5x50.8mm, Black",,50.8 mm,63.5 mm,50.8 mm,76.86
1070-1239,Kontron,CPU & Chip Coolers,CPU & Chip Coolers Heatsink w/ thermal pad & screws - ELK Atom  x6000E Series ONLY,,,,,1417.5
WTC5R1F0-0.75x0.50,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products Thermal Conductor Pad, 0.005"" Thickness, Rectangle, 19.05x12.7mm, Black",,12.7 mm,19.05 mm,12.7 mm,17.01
PL-05-3-254-H,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products ulTIMiFlux Gap Pad, Silicone, 0.5mm Thickness, 3 W/m-K, 25.4x25.4mm, Hyper Soft",3 W/m-K,0.5 mm,25.4 mm,25.4 mm,95.45
5591-25,3M Electronic Specialty,Thermal Interface Products,"Thermal Interface Products WX300901310  3M(TM) THERMALLY COND INTERFACE PAD 5591, 210MM X 300MM 2.5MM",,210 mm,,,1061.55
7717-175NG,Aavid,Heat Sinks,"Heat Sinks Semiconductor Mounting Pad for Crystal Can Relays, 1.27mm Thickness",,1.27 mm,,,28.67
PL-05-3-254,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products ulTIMiFlux Gap Pad, Silicone, 0.5mm Thickness, 3 W/m-K, 25.4x25.4mm, Green",3 W/m-K,0.5 mm,25.4 mm,25.4 mm,91.35
56-02-101G,Aavid,Thermal Interface Products,"Thermal Interface Products Mica Insulator for TO-218, TO-18, TO-247, TO3P",,,,,17.96
T10-S-SW-01-20A,AIRPAX,Circuit Breakers,Circuit Breakers Cir Brkr Hyd Mag,,,,,536.13
PL-2-5-254-H,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products ulTIMiFlux Gap Pad, Silicone, 2mm Thickness, 5 W/m-K, 25.4x25.4mm, Hyper Soft",5 W/m-K,2 mm,25.4 mm,25.4 mm,154.04
SP900S-0.009-AC-58,Bergquist Company,Thermal Interface Products,"Thermal Interface Products SIL PAD, Low-Pressure, 0.009"" Thickness, 1 Side Adhesive, 19.05x12.70mm",,12.70 mm,19.05 mm,12.70 mm,15.75
TGF40-07870787-039,LeaderTech,Thermal Interface Products,Thermal Interface Products 4W/m-K 200*200*1 TGF40 Purple,4 W/m-K,,200 mm,200 mm,3241.35
5584-05,3M Electronic Specialty,Thermal Interface Products,Thermal Interface Products Silicon Intrfac Pad 210mm x 300mm x0.5mm,,210 mm,,,739.94
T21-62-2.75A-06-20A-V,AIRPAX,Circuit Breakers,"Circuit Breakers Cir Brkr, HydMag, 1 pl, 32VDC/125VAC, 10A",,,,,1718.96
T11-1-.800A-03-11AL-V,AIRPAX,Circuit Breakers,Circuit Breakers Cir Brkr Hyd Mag,,,,,660.87
TGF15-07870787-039,LeaderTech,Thermal Interface Products,Thermal Interface Products 1.5W/m-K 200*200*1 TGF15 Pink,1.5 W/m-K,,200 mm,200 mm,3241.35
PL-05-5-1016-H,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products ulTIMiFlux Gap Pad, Silicone, 0.5mm Thick, 5 W/m-K, 101.6x101.6mm, Hyper Soft",5 W/m-K,0.5 mm,101.6 mm,101.6 mm,423.05
5591-10,3M Electronic Specialty,Thermal Interface Products,Thermal Interface Products Interfac Pad Sheet 210mm x 300mm x1.0mm,,210 mm,,,660.24
PL-2-5-254,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products ulTIMiFlux Gap Pad, Silicone, 2mm Thickness, 5 W/m-K, 25.4x25.4mm, Gold",5 W/m-K,2 mm,25.4 mm,25.4 mm,170.73
7717-86NG,Aavid,Heat Sinks,"Heat Sinks Semiconductor Mounting Pad for TO-5, 3 Leads, 1.91mm Thickness",,1.91 mm,,,20.48
PL-2-3-254-H,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products ulTIMiFlux Gap Pad, Silicone, 2mm Thickness, 3 W/m-K, 25.4x25.4mm, Hyper Soft",3 W/m-K,2 mm,25.4 mm,25.4 mm,110.57
T11-2-5.00A-01-11AL,AIRPAX,Circuit Breakers,Circuit Breakers Cir Brkr Hyd Mag,,,,,608.58
T29-22303-1,AIRPAX,Circuit Breakers,Circuit Breakers Cir Brkr Hyd Mag,,,,,1646.51
CD-02-05-C-20,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products ulTIMiFlux Dielectric Phase Change, Chipset Pad 0.768"" x 0.768"", No Hole",,,,,79.38
CS-SNICKERDOODLE-09,krtkl,Modules Accessories,"Modules Accessories snickerdoodle cookieJar Enclosure. Machined Aluminum Enclosure for Connectors Up snickerdoodle, Laser Engraved, Blue Anodized. Includes: 4x SS machine screws for panel mounting, conductive / adhesive grounding pad, adhesive thermal pad, 4x adhesive-b",,,,,2142.0
WTI9S0F1-12.0x12.0,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products Thermal Insulator Pad, 0.009"" Thickness, Square, 12x12"" Sheet, 1 Side Adhesive",,,12 mm,12 mm,1308.83
TGF50-07870787-059,LeaderTech,Thermal Interface Products,"Thermal Interface Products Thermal gap filler, 5 W/m-K, 7.87""x7.87""x0.059""",5 W/m-K,,,,10715.04
T11-2-5.00A-01-11A,AIRPAX,Circuit Breakers,"Circuit Breakers Cir Brkr,HydMag",,,,,588.11
43-77-8G,Aavid,Thermal Interface Products,"Thermal Interface Products Thermalfilm for Case 90, Case 199, 18.92x13.84mm, 3.81mm Hole Diameter",,13.84 mm,18.92 mm,13.84 mm,20.16
CD-02-05-66,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products ulTIMiFlux Dielectric Phase Change Thermal Material, TO-66 Pad, 2 Pin",,,,,93.87
WTI7S0F1-12.0x12.0,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products Thermal Insulator Pad, 0.007"" Thickness, Square, 12x12"" Sheet, 1 Side Adhesive",,,12 mm,12 mm,797.9
SANP-C1N030,Littelfuse,Relay Sockets & Fixings,"Relay Sockets & Fixings SSR Accessory, Thermal Pad HP CL",,,,,90.09
WTI9S0F0-12.0x12.0,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products Thermal Insulator Pad, 0.009"" Thickness, Square, 12x12"" Sheet, Gray",,,12 mm,12 mm,797.9
173-9-210P,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products DeltaPads Thermally Conductive Insulators for TO-220, 0.009"", Grey, No Adhesive",,,,,20.79
10-5607-04G,Aavid,Heat Sinks,"Heat Sinks Push Pin Heat Sink for BGA, 37.4x37.4x10mm, IC=37.5x37.5, Plastic Pins, Pad",,10 mm,37.4 mm,37.4 mm,120.65
110G,Aavid,Thermal Interface Products,"Thermal Interface Products Teflon-Filled Bushings, TO3, 5.03/5.21mm ID, 6.81/6.98mm OD, 1.57/1.40mm Thick",,5.21 mm,,,65.21
5516-1.0,3M Electronic Specialty,Thermal Interface Products,Thermal Interface Products THERM COND INT PAD 1.0MM 230MMX320MM,,1.0 mm,,,1898.19
173-9-330P,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products DeltaPads Thermally Conductive Insulators for TO-3, 0.009"", Grey, No Adhesive",,,,,46.62
7717-4NG,Aavid,Heat Sinks,"Heat Sinks Semiconductor Mounting Pad for TO-5, 4 Leads, 1.91mm Thickness",,1.91 mm,,,17.64
A18906-06,Laird Technologies,Thermal Interface Products,Thermal Interface Products Thickness 1.50mm 457x457mm Grey,,1.50 mm,457 mm,457 mm,24598.67
PL-05-5-254-H,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products ulTIMiFlux Gap Pad, Silicone, 0.5mm Thickness, 5 W/m-K, 25.4x25.4mm, Hyper Soft",5 W/m-K,0.5 mm,25.4 mm,25.4 mm,98.91
173-9-240P,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products DeltaPads Thermally Conductive Insulators for TO-220, 0.009"", Grey, No Adhesive",,,,,27.41
CD-02-05-025,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products ulTIMiFlux Dielectric Phase Change Material, 1"" x 1"" Square Pad, 0.003"" Thick",,,,,37.49
PL-2-1-254,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products ulTIMiFlux Gap Pad, Silicone, 2mm Thickness, 1 W/m-K, 25.4x25.4mm, Grey",1 W/m-K,2 mm,25.4 mm,25.4 mm,99.54
A18906-12,Laird Technologies,Thermal Interface Products,Thermal Interface Products Thickness 3mm 457x457mm Grey,,3 mm,457 mm,457 mm,44233.88
A18906-10,Laird Technologies,Thermal Interface Products,Thermal Interface Products Thickness 2.50mm 457x457mm Grey,,2.50 mm,457 mm,457 mm,37686.29
A18770-04,Laird Technologies,Thermal Interface Products,Thermal Interface Products,,,,,6798.96
7717-79NG,Aavid,Heat Sinks,"Heat Sinks Semiconductor Mounting Pad for TO-5, 3 Leads, 0.97mm Thickness",,0.97 mm,,,36.23
COH-1019LVC (1NT) t2.0,Taica,Thermal Interface Products,"Thermal Interface Products Gap Pad, 1.9 W/mK, Square, 400x400mm, 2mm Thick, 1-Side Non-Tacky, Alpha Gel",1.9 W/m-K,400 mm,400 mm,400 mm,4016.25
TGP 40000SF-0.060-00-0606,Bergquist Company,Thermal Interface Products,"Thermal Interface Products GAP PAD, Sil-Free, 40W/m-K, 6x6"" Sheet, 0.060"" Thickness, Thermexit, IDH 2972780",40 W/m-K,,6 mm,6 mm,6640.52
A18770-05,Laird Technologies,Thermal Interface Products,Thermal Interface Products,,,,,1142.19
5300AC 1.500G,Aavid,Thermal Interface Products,"Thermal Interface Products Thermalsil III Conductive Silicone Rubber Insulators, 38.1mm W, Adhesive 1-Side",,38.1 mm,,,376.11
TGP 40000SF-0.100-00-0606,Bergquist Company,Thermal Interface Products,"Thermal Interface Products GAP PAD, Sil-Free, 40W/m-K, 6x6"" Sheet, 0.100"" Thickness, Thermexit, IDH 2964639",40 W/m-K,,6 mm,6 mm,9750.2
WTC5S0F1-12.0x12.0,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products Thermal Conductor Pad, 0.005"" Thickness, Square, 12x12"" Sheet, 1 Side Adhesive",,,12 mm,12 mm,1023.12
WTC6S0A1-12.0x12.0,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products Thermal Conductor Pad, 0.006"" Thickness, Square, 12x12"" Sheet, 1 Side Adhesive",,,12 mm,12 mm,1141.56
7717-156DAPG,Aavid,Heat Sinks,"Heat Sinks Semiconductor Mounting Pad for IC, Rectangular, DAP, 14-DIP, 19.05x11.43x1.28mm",,1.28 mm,19.05 mm,11.43 mm,82.22
7717-30NG,Aavid,Heat Sinks,"Heat Sinks Semiconductor Mounting Pad for IC, Nylon, 10 Leads, 9.53mm OD, 1.91mm Thickness",,9.53 mm,,,12.29
10-L4LB-11G,Aavid,Heat Sinks,"Heat Sinks Push Pin Heat Sink for BGA, 45.2x41.4x11.7mm, IC=45x45, Plastic Pins, No Pad",,11.7 mm,45.2 mm,41.4 mm,77.81
CWD2450H,Crydom,Solid State Relays - SSRs,Solid State Relays - SSRs SOLID STATE RELAY 24-280 VAC,,,,,2415.11
DC400D10H,Crydom,Solid State Relays - SSRs,"Solid State Relays - SSRs SSR Relay, Panel Mount, IP00, 400VDC/10A, 4-32VDC In, FET Output, Thermal Pad",,,,,4157.37
5584-20,3M Electronic Specialty,Thermal Interface Products,Thermal Interface Products Silicon Intrfac Pad 210mm x 300mm x2.0mm,,210 mm,,,1311.66
20266,Vicor,Thermal Interface Products,Thermal Interface Products Thermal Pads Package of 10 pcs,,,,,2079.32
A18770-02,Laird Technologies,Thermal Interface Products,Thermal Interface Products,,,,,4174.38
2705074,Bergquist Company,Thermal Interface Products,"Thermal Interface Products GAP PAD, 12 W/m-K, Highly Conformable, Soft, GAP PAD TGP 12000",12 W/m-K,,,,14159.88
7717-44NG,Aavid,Heat Sinks,"Heat Sinks Semiconductor Mounting Pad for TO-5, TO-18, Circular, Nylon, 3.18x7.75mm",,7.75 mm,3.18 mm,7.75 mm,44.42
20264,Vicor,Thermal Interface Products,Thermal Interface Products Thermal Pads Package of 10 pcs,,,,,1879.92
CD-02-05-C-18,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products ulTIMiFlux Dielectric Phase Change, Chipset Pad 0.689"" x 0.689"", No Hole",,,,,44.73
TGF35-07870787-039,LeaderTech,Thermal Interface Products,Thermal Interface Products 3.5W/m-K 200*200*1 TGF35 Green,3.5 W/m-K,,200 mm,200 mm,3241.04
4040220,Wurth Elektronik,Thermal Interface Products,Thermal Interface Products WE-TINS Thermally Conduc Insulator Pad for TO-220 19.05 x 12.7 x 3.17mm Hole Dia,,3.17 mm,19.05 mm,12.7 mm,28.04
84137010H,Crydom,Solid State Relays - SSRs,"Solid State Relays - SSRs SSR Relay, Panel Mount, IP20, 280VAC/25A, DC In, Zero Cross, Thermal Pad",,,,,2369.43
A18500-01,Laird Technologies,Thermal Interface Products,Thermal Interface Products TGARD 210B A0  17X17IN,,,17 mm,17 mm,5524.16
7717-22NG,Aavid,Heat Sinks,"Heat Sinks Semiconductor Mounting Pad for TO-5, Nylon, 3 Leads, Diameter 8.71mm",,8.71 mm,,,8.82
A18330-08,Laird Technologies,Thermal Interface Products,Thermal Interface Products 2.00 127x76mm,,76 mm,127 mm,76 mm,3130.79
SSP3A250BDRT,Schneider Electric,Solid State Relays - SSRs,"Solid State Relays - SSRs three phase relay, Harmony Solid State Relays, 50A, panel mount, random switching, thermal pad, input 4 to 32V DC, output 42 to 660V AC",,,,,6571.53
A18330-12,Laird Technologies,Thermal Interface Products,Thermal Interface Products 3.00 127x76mm,,76 mm,127 mm,76 mm,4591.13
A15896-04,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tflex 740 9x9"" 5.0W/mK gap filler",5.0 W/m-K,,9 mm,9 mm,4071.38
A18330-04,Laird Technologies,Thermal Interface Products,Thermal Interface Products 1.00 127x76mm,,76 mm,127 mm,76 mm,1187.24
SSP3A250BDT,Schneider Electric,Solid State Relays - SSRs,"Solid State Relays - SSRs three phase relay, Harmony Solid State Relays, 50A, panel mount, zero voltage switching, thermal pad, input 4 to 32V DC, output 42 to 660V AC",,,,,6588.86
A18213-12,Laird Technologies,Thermal Interface Products,"Thermal Interface Products TFLEX SF10,3.00 229X229MM",,229 mm,229 mm,229 mm,12164.67
A17752-02,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tflex HD90500 9x9IN,",,,9 mm,9 mm,2246.27
A10462-20,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tgon 805,A1 18"" x 24""",,,,,1189.76
CWD2425H,Crydom,Solid State Relays - SSRs,Solid State Relays - SSRs SOLID STATE RELAY 24-280 VAC,,,,,2079.63
A17752-10,Laird Technologies,Thermal Interface Products,Thermal Interface Products Tflex HD92500 9x9,,,9 mm,9 mm,9943.61
A18213-02,Laird Technologies,Thermal Interface Products,"Thermal Interface Products TFLEX SF10,0.50 229X229MM",,229 mm,229 mm,229 mm,1632.96
A18213-04,Laird Technologies,Thermal Interface Products,"Thermal Interface Products TFLEX SF10,1.00 229X229MM",,229 mm,229 mm,229 mm,3385.31
A17752-05,Laird Technologies,Thermal Interface Products,Thermal Interface Products Tflex HD91250 9x9,,,9 mm,9 mm,5500.53
A18213-10,Laird Technologies,Thermal Interface Products,Thermal Interface Products TFLEX SF10 229X229MM,,229 mm,229 mm,229 mm,8502.17
A10092-01,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tpli 210 FG A0 8x8"" 6 W/mK gap filler",6 W/m-K,,8 mm,8 mm,1303.16
APA502-60-001,Advanced Energy / Artesyn,Heat Sinks,Heat Sinks Thermal Pad,,,,,92.3
A10080-39,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tpli 220 A1 16x16"" 6 W/mK gap filler",6 W/m-K,,16 mm,16 mm,9041.76
A17752-04,Laird Technologies,Thermal Interface Products,Thermal Interface Products Tflex HD91000 9x9,,,9 mm,9 mm,4418.51
7717-3NG,Aavid,Heat Sinks,"Heat Sinks Semiconductor Mounting Pad for TO-5, 3-4 Leads, 1.91mm Thickness",,1.91 mm,,,25.2
A18501-20,Laird Technologies,Thermal Interface Products,"Thermal Interface Products TGARD 220B,A1,17X17INCH",,,17 mm,17 mm,6690.6
A12624-01,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tflex 6100 9x9"" 3.0W/mK gap filler",3.0 W/m-K,,9 mm,9 mm,4531.59
A17752-06,Laird Technologies,Thermal Interface Products,Thermal Interface Products Tflex HD91500 9x9,,,9 mm,9 mm,6212.12
