MPN,Manufacturer,Category,Description,Thermal_Conductivity,Thickness,Width,Length,Price_THB
TG-A3500-25-25-0.5,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Yellow 25.00mm x 25.00mm Square Tacky - Both Sides,3.5W/m-K,"0.0197"" (0.500mm)",,,9.45
4673,Keystone Electronics,"Fans, Blowers, Thermal Management",Thermal Pad 21.84mm x 13.21mm Rectangular,-,"0.0030"" (0.076mm)",,,9.45
TG-A6200-10-10-2.0,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Blue 10.00mm x 10.00mm Square Tacky - Both Sides,6.2W/m-K,"0.0790"" (2.000mm)",,,9.77
SP900S-0.009-00-58,Bergquist,"Fans, Blowers, Thermal Management",Thermal Pad Pink 19.05mm x 12.70mm Rectangular,1.6W/m-K,"0.0090"" (0.229mm)",,,10.08
SP400-0.007-00-90,Bergquist,"Fans, Blowers, Thermal Management",Thermal Pad Gray 21.84mm x 18.80mm Rectangular,0.9W/m-K,"0.0070"" (0.178mm)",,,10.08
TG-A4500-15-15-1.5,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Purple 15.00mm x 15.00mm Square Tacky - Both Sides,4.5W/m-K,"0.0591"" (1.500mm)",,,11.03
SP600-114,Bergquist,"Fans, Blowers, Thermal Management",Thermal Pad Green 24.00mm x 21.01mm Rectangular,1.0W/m-K,"0.0090"" (0.229mm)",,,11.03
60-11-5791-1674,Parker Chomerics,"Fans, Blowers, Thermal Management",Thermal Pad Blue 17.45mm x 14.28mm Rectangular,1.0W/m-K,"0.0100"" (0.254mm)",,,11.66
TG-A6200-20-10-1.0,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Blue 20.00mm x 10.00mm Rectangular Tacky - Both Sides,6.2W/m-K,"0.0394"" (1.000mm)",,,11.66
QB0505A25WYT\500,KYOCERA AVX,"Fans, Blowers, Thermal Management",Thermal Pad 1.27mm x 1.27mm Square,"100W/m-K, 153W/m-K","0.0025"" (0.064mm)",,,11.66
A18197-10,Laird Technologies - Thermal Materials,"Fans, Blowers, Thermal Management",Thermal Pad Gray 228.60mm x 228.60mm Square Tacky - Both Sides,5.3W/m-K,"0.0098"" (0.250mm)",,,483.21
A18172-16,Laird Technologies - Thermal Materials,"Fans, Blowers, Thermal Management",Thermal Pad Gray 228.60mm x 228.60mm Square Tacky - Both Sides,7.5W/m-K,"0.0157"" (0.400mm)",,,717.89
A18172-10,Laird Technologies - Thermal Materials,"Fans, Blowers, Thermal Management",Thermal Pad Gray 228.60mm x 228.60mm Square Tacky - Both Sides,7.5W/m-K,"0.0098"" (0.250mm)",,,838.53
A18197-16,Laird Technologies - Thermal Materials,"Fans, Blowers, Thermal Management",Thermal Pad Gray 228.60mm x 228.60mm Square Tacky - Both Sides,5.3W/m-K,"0.0160"" (0.406mm)",,,688.59
A13418-01,Laird Technologies - Thermal Materials,"Fans, Blowers, Thermal Management","Thermal Pad Silver, Yellow 228.60mm x 228.60mm Square Tacky - Both Sides",-,"0.0050"" (0.127mm)",,,992.25
A11809-02,Laird Technologies - Thermal Materials,"Fans, Blowers, Thermal Management",Thermal Pad Yellow 457.20mm x 457.20mm Square Tacky - Both Sides,0.7W/m-K,"0.0050"" (0.127mm)",,,3820.01
A10832-02,Laird Technologies - Thermal Materials,"Fans, Blowers, Thermal Management",Thermal Pad Yellow 228.60mm x 228.60mm Square Tacky - Both Sides,2.2W/m-K,"0.0100"" (0.254mm)",,,1567.76
A14696-04,Laird Technologies - Thermal Materials,"Fans, Blowers, Thermal Management",Thermal Pad Gray 457.20mm x 304.80mm Rectangular,-,"0.0030"" (0.076mm)",,,1342.85
A18171-08,Laird Technologies - Thermal Materials,"Fans, Blowers, Thermal Management",Thermal Pad Gray 457.20mm x 457.20mm Square Tacky - Both Sides,7.5W/m-K,"0.0079"" (0.200mm)",,,3540.915
A18171-10,Laird Technologies - Thermal Materials,"Fans, Blowers, Thermal Management",Thermal Pad Gray 457.20mm x 457.20mm Square Tacky - Both Sides,7.5W/m-K,"0.0098"" (0.250mm)",,,3856.46625
A18171-16,Laird Technologies - Thermal Materials,"Fans, Blowers, Thermal Management",Thermal Pad Gray 457.20mm x 457.20mm Square Tacky - Both Sides,7.5W/m-K,"0.0157"" (0.400mm)",,,4229.19
A10832-09,Laird Technologies - Thermal Materials,"Fans, Blowers, Thermal Management",Thermal Pad Yellow 457.20mm x 457.20mm Square Tacky - Both Sides,2.2W/m-K,"0.0100"" (0.254mm)",,,4682.37
A15726-00,Laird Technologies - Thermal Materials,"Fans, Blowers, Thermal Management",Thermal Pad Gray 457.20mm x 457.20mm Square Tacky - Both Sides,3.8W/m-K,"0.0100"" (0.254mm)",,,4788.0
A10833-06,Laird Technologies - Thermal Materials,"Fans, Blowers, Thermal Management",Thermal Pad Yellow 457.20mm x 457.20mm Square Tacky - Both Sides,2.2W/m-K,"0.0200"" (0.508mm)",,,7543.62
A17064-00,Laird Technologies - Thermal Materials,"Fans, Blowers, Thermal Management",Thermal Phase Change Thermal Compound 1 kg Can,1.50W/m-K,,,,8055.1025
